Label,ID,danceability,energy,mode,valence,tempo,key,popularity,genre
Start Me Up - Remastered 2009,1,0.631,0.932,1,0.971,122.429,5,76,['british invasion', 'classic rock', 'rock']
Pour Some Sugar On Me - Remastered 2017,2,0.267,0.953,0,0.568,84.989,1,74,['album rock', 'hard rock', 'nwobhm', 'rock']
Dancing With Myself,4,0.51,0.696,1,0.905,176.568,4,68,['album rock', 'classic rock', 'dance rock', 'hard rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock']
Bad Medicine,5,0.555,0.973,1,0.805,118.642,9,69,['glam metal', 'rock']
18 and Life,6,0.457,0.794,0,0.354,90.439,1,57,['album rock', 'glam metal', 'hard rock', 'metal', 'rock']
Addicted To Love,8,0.702,0.578,1,0.975,111.617,2,67,['album rock', 'art rock', 'blues rock', 'classic rock', 'dance rock', 'disco', 'heartland rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'singer-songwriter', 'soft rock', 'yacht rock']
Call Me,9,0.554,0.833,0,0.773,142.673,2,68,['candy pop', 'new wave', 'new wave pop', 'permanent wave', 'power pop', 'rock']
Don't Stop Believin',11,0.491,0.802,1,0.472,119.25,4,72,['album rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']
Night Crawling (feat. Billy Idol),12,0.638,0.918,1,0.668,134.022,11,63,['dance pop', 'pop', 'post-teen pop']
Eyes Without A Face - Remastered,13,0.545,0.647,1,0.552,85.76,9,59,['album rock', 'classic rock', 'dance rock', 'hard rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock']
White Wedding - Pt. 1 / Remastered 2002,14,0.656,0.767,1,0.747,147.347,9,51,['album rock', 'classic rock', 'dance rock', 'hard rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock']
Rebel Yell - Remastered,15,0.534,0.694,0,0.45,166.791,9,63,['album rock', 'classic rock', 'dance rock', 'hard rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock']
Når Jeg Bliver Gammel,16,0.765,0.531,1,0.741,108.009,5,42,['classic danish pop', 'classic danish rock', 'danish pop', 'dansktop']
Hurtige Hænder - Acoustic Version - Moyo Live P3,17,0.419,0.259,1,0.294,126.891,7,54,['danish alternative rock', 'danish pop', 'danish post-punk', 'danish rock']
Johnny The Blues,18,0.659,0.661,1,0.822,131.532,0,42,['classic danish pop', 'dansktop']
Den Dejligste Morgen,19,0.754,0.824,1,0.847,124.951,0,31,['classic danish pop', 'classic danish rock', 'danish pop', 'dansktop']
Don't Know Much About Love,20,0.78,0.741,1,0.781,106.831,9,46,['classic danish pop', 'danish pop rock']
Danmark,21,0.684,0.82,1,0.883,128.822,4,45,['classic danish pop', 'danish pop', 'dansktop']
No Peace Like In Heaven,22,0.469,0.53,1,0.137,134.274,0,37,['classic danish pop', 'danish pop', 'danish pop rock', 'dansktop']
Let Your Fingers Do The Walking - Remastered,23,0.313,0.389,1,0.143,172.249,2,46,['classic danish pop', 'danish pop', 'danish pop rock', 'danish post-punk', 'danish punk', 'danish rock']
Udenfor Sæsonen,24,0.725,0.708,1,0.962,142.081,2,43,['classic danish pop', 'dansktop']
Sæsonen er slut,26,0.51,0.651,1,0.596,124.984,7,37,['classic danish pop', 'classic danish rock', 'danish jazz']
Færgemanden,27,0.745,0.653,1,0.962,145.168,7,40,['classic danish pop', 'dansktop']
Mr. Swing King,28,0.639,0.772,1,0.911,144.056,0,43,['classic danish pop', 'classic danish rock', 'danish pop', 'dansktop']
Flyvere i natten - 2011 - Remaster,29,0.593,0.656,1,0.457,122.157,2,48,['classic danish pop', 'danish pop', 'danish pop rock']
Midt om natten,30,0.95,0.382,1,0.607,115.93,10,50,['classic danish pop', 'danish pop', 'danish pop rock']
Vilde Kaniner,31,0.722,0.802,0,0.813,177.891,4,41,['classic danish pop', 'classic danish rock', 'danish pop', 'dansktop']
Krig og Fred,34,0.499,0.918,0,0.918,172.455,6,40,['classic danish pop', 'danish pop', 'dansktop']
Så Gik Der Tid Med Det,35,0.821,0.667,0,0.834,138.318,11,43,['classic danish pop', 'danish pop', 'dansktop']
Ta' Med,36,0.743,0.803,0,0.74,125.802,11,36,[]
Gotta Get Away From You (Keep On Walking),37,0.646,0.756,1,0.833,86.706,0,31,['classic danish pop', 'danish pop', 'danish pop rock']
Indianer,40,0.779,0.744,1,0.898,147.195,9,51,['classic danish pop', 'danish pop', 'dansktop']
Vuffeli-Vov,41,0.75,0.702,1,0.735,126.959,2,41,['classic danish pop', 'danish pop', 'dansktop']
Sunshine Reggae,42,0.704,0.79,1,0.933,167.816,8,63,['classic danish pop', 'italian disco']
Der går min klasselærer,43,0.718,0.49,1,0.907,154.411,7,35,['classic danish pop', 'danish pop', 'danish pop rock', 'dansktop']
Jeg har lagt mine våben,44,0.741,0.523,1,0.956,134.075,10,32,['classic danish pop', 'danish pop rock', 'dansk lovsang', 'dansktop']
Alt Hvad Hun Ville Var At Danse,45,0.639,0.723,1,0.876,111.318,5,46,['classic danish pop', 'danish pop', 'danish pop rock', 'dansktop']
Dine Øjne Er Så Blå,46,0.868,0.777,1,0.871,127.014,5,49,['classic danish pop', 'danish pop', 'danish pop rock', 'dansktop']
Hvor End Jeg Går Hen,47,0.671,0.874,1,0.921,140.429,2,28,['classic danish pop', 'danish pop', 'dansktop']
Stupid Man,48,0.679,0.876,1,0.76,124.662,5,50,['classic danish pop', 'danish pop', 'danish pop rock']
Kald det kærlighed,49,0.57,0.682,1,0.747,129.044,10,44,['classic danish pop', 'danish pop', 'dansktop']
Walking on Water,50,0.789,0.718,1,0.967,122.972,6,37,['classic danish pop', 'danish pop rock']
Ud Under Åben Himmel,52,0.525,0.613,1,0.357,133.182,0,44,['classic danish pop', 'danish pop', 'dansktop']
Skibet skal sejle i nat - 2003 - Remaster,53,0.683,0.547,1,0.381,88.103,7,28,['classic danish pop', 'danish pop']
Happy Home,54,0.724,0.426,0,0.415,128.061,3,40,['danish pop', 'pop', 'scandipop']
Hvis det blir,56,0.635,0.917,1,0.94,96.993,0,40,['classic danish pop', 'danish pop', 'danish pop rock', 'dansktop']
Den allersidste dans - 2011 - Remaster,57,0.902,0.395,1,0.835,115.337,2,42,['classic danish pop', 'danish pop', 'danish pop rock']
Jonathan - 1995 - Remaster,59,0.612,0.716,1,0.727,83.945,6,38,['classic danish pop', 'danish pop', 'danish pop rock', 'dansktop']
Hvileløse hjerte - 2011 - Remaster,60,0.765,0.772,1,0.94,126.052,7,37,['classic danish pop', 'danish pop', 'danish pop rock']
Lev Mette,61,0.674,0.55,0,0.558,139.737,11,43,['dakke dak', 'danish pop']
Scarface (Push It To The Limit),62,0.559,0.84,0,0.472,153.209,10,58,[]
F*CK YOU, GOODBYE (feat. Machine Gun Kelly),63,0.721,0.632,0,0.296,92.057,5,73,['australian hip hop', 'pop']
STAY (with Justin Bieber),64,0.591,0.764,1,0.478,169.928,1,86,['australian hip hop', 'pop']
WITHOUT YOU,65,0.662,0.413,1,0.467,93.005,0,79,['australian hip hop', 'pop']
The Kids Aren't Alright,66,0.523,0.943,1,0.766,99.607,1,80,['alternative metal', 'permanent wave', 'punk', 'rock', 'skate punk', 'socal pop punk']
Old Town Road - Remix,67,0.891,0.503,1,0.674,136.009,6,53,['lgbtq+ hip hop', 'pop']
Old Town Road - Diplo Remix,68,0.766,0.771,1,0.297,140.036,6,59,['lgbtq+ hip hop', 'pop']
Ibiza,69,0.882,0.727,0,0.407,133.131,9,59,['danish hip hop', 'danish pop']
HONEY (IM HOME),70,0.856,0.718,1,0.727,130.095,7,43,['danish pop']
Bagateller,71,0.892,0.688,0,0.711,121.056,7,54,['danish hip hop', 'danish pop']
KOMFORTABELT,72,0.91,0.568,0,0.714,123.029,5,50,['danish hip hop', 'danish pop']
Push It To The Limit,73,0.818,0.721,0,0.936,132.043,0,33,['danish hip hop', 'danish pop']
Under Din Sne,74,0.511,0.879,1,0.313,143.941,0,48,['danish alternative rock', 'danish pop', 'danish post-punk', 'danish rock']
No Warning,75,0.921,0.734,1,0.842,124.022,7,47,['danish hip hop', 'danish pop']
GOAL,76,0.795,0.813,0,0.621,120.027,11,46,['danish pop']
How Will I Know,77,0.761,0.739,1,0.656,118.997,6,73,['dance pop', 'pop', 'urban contemporary']
Lad Mig Være,78,0.506,0.9,1,0.934,77.775,10,33,['danish pop']
Solhverv,79,0.81,0.674,0,0.834,139.949,2,53,['danish hip hop', 'danish pop']
Kalder På Dig (feat. Rasmus Seebach),80,0.768,0.647,1,0.475,94.397,7,50,['danish hip hop', 'danish pop']
Makaveli,81,0.677,0.704,1,0.52,177.927,8,39,['norwegian pop rap', 'norwegian trap']
Endnu (feat. Gilli, Benny Jamz & Branco),82,0.556,0.645,0,0.476,199.689,1,46,['danish hip hop', 'danish pop']
Principperne (feat. Benny Jamz),83,0.588,0.65,0,0.536,142.222,10,40,['danish hip hop', 'danish pop']
Uuh (feat. Branco & Kesi),84,0.76,0.779,0,0.594,151.977,11,42,['danish hip hop', 'danish pop']
Lifestyle,85,0.678,0.65,1,0.532,99.914,7,44,['danish hip hop', 'danish pop']
Tale Til Dem (feat. Benny Jamz & Branco),86,0.853,0.578,0,0.75,129.917,5,39,['danish hip hop', 'danish pop']
Sektion (feat. Branco & Gilli),87,0.767,0.66,0,0.456,100.092,6,31,['danish hip hop', 'danish pop']
Domino,88,0.637,0.715,0,0.681,65.355,4,35,['danish hip hop', 'danish pop']
Flytilstand,89,0.824,0.716,0,0.329,99.991,7,36,['danish hip hop', 'danish pop']
100 (feat. Benny Jamz, Branco & Kesi),90,0.749,0.57,1,0.48,134.042,1,37,['danish hip hop', 'danish pop']
Selv (feat. Benny Jamz & Branco),91,0.817,0.567,0,0.378,129.987,0,35,['danish hip hop', 'danish pop']
Spark,92,0.402,0.608,0,0.717,92.694,11,35,['danish hip hop', 'danish pop']
Mørket (feat. Benny Jamz & Stepz),93,0.611,0.536,1,0.581,74.161,9,25,['danish hip hop', 'danish pop']
Tjep (feat. Kesi),94,0.839,0.613,0,0.806,99.991,6,34,['danish hip hop', 'danish pop']
Skejs (feat. Benny Jamz),95,0.802,0.599,0,0.519,139.984,5,36,['danish hip hop', 'danish pop']
WAP (feat. Megan Thee Stallion),96,0.935,0.454,1,0.357,133.073,1,80,['dance pop', 'pop', 'rap']
Rumors (feat. Cardi B),97,0.827,0.731,0,0.607,118.992,4,72,['escape room', 'minnesota hip hop', 'pop', 'trap queen']
Wild Side (feat. Cardi B),98,0.74,0.576,0,0.315,110.095,6,72,['dance pop', 'pop', 'post-teen pop', 'r&b', 'rap', 'uk pop', 'urban contemporary']
